,City,Country,Date,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed
126,Road Town,VG,2019-11-06,20,83,18.42,-64.62,81.0,6.93
127,Nong Han,TH,2019-11-06,13,58,17.36,103.11,82.4,4.7
128,Teguise,ES,2019-11-06,20,72,29.06,-13.56,66.2,10.29
129,Atar,MR,2019-11-06,100,38,20.52,-13.05,70.21,10.38
130,Saint-Augustin,CA,2019-11-06,90,89,45.63,-73.98,42.8,9.17
131,Penzance,GB,2019-11-06,91,93,50.12,-5.53,52.0,5.82
132,Ushtobe,KZ,2019-11-06,93,87,45.25,77.98,32.29,4.09
133,Sao Felix Do Xingu,BR,2019-11-06,32,82,-6.64,-51.99,74.95,1.77
134,Tasiilaq,GL,2019-11-06,100,71,65.61,-37.64,32.0,32.21
135,Te Anau,NZ,2019-11-06,6,83,-45.41,167.72,54.28,3.87
136,Santa Luzia,BR,2019-11-06,83,78,-19.77,-43.85,73.4,1.61
137,Buala,SB,2019-11-06,99,68,-8.15,159.59,84.61,5.88
138,Sungaipenuh,ID,2019-11-06,96,47,-2.08,101.38,79.25,2.3
139,Peterhead,AU,2019-11-06,40,55,-34.83,138.5,70.0,25.28
140,Owando,CG,2019-11-06,87,91,-0.49,15.91,70.57,1.5
141,Chokurdakh,RU,2019-11-06,67,96,70.62,147.9,-2.24,3.58
142,Cidreira,BR,2019-11-06,100,79,-30.17,-50.22,67.06,8.99
143,Buchmany,UA,2019-11-06,97,74,51.07,28.04,52.93,10.18
144,Mildura,AU,2019-11-06,9,20,-34.18,142.16,82.4,19.46
145,Mahebourg,MU,2019-11-06,40,83,-20.41,57.7,77.0,3.36
146,Mango,CF,2019-11-06,88,96,4.65,22.36,68.13,1.3
147,Ginda,IN,2019-11-06,0,51,30.69,78.49,57.74,2.21
148,Tuktoyaktuk,CA,2019-11-06,90,92,69.44,-133.03,26.6,23.04
149,Asyut,EG,2019-11-06,0,77,27.18,31.19,59.0,11.41
150,Liyang,CN,2019-11-06,93,52,31.42,119.48,71.01,6.71
151,Matara,BI,2019-11-06,100,76,-3.48,29.48,59.0,4.81
152,Hithadhoo,MV,2019-11-06,67,73,-0.6,73.08,81.99,7.63
153,Poum,MK,2019-11-06,5,80,41.28,20.71,46.63,4.32
154,Belyy Yar,RU,2019-11-06,79,100,53.6,91.39,26.6,2.24
155,Suzun,RU,2019-11-06,0,77,53.78,82.32,29.17,9.8
156,Marsa Matruh,EG,2019-11-06,0,82,31.35,27.25,60.8,6.93
157,Tuatapere,NZ,2019-11-06,52,66,-46.13,167.69,61.43,2.77
158,Salalah,OM,2019-11-06,17,57,17.01,54.1,75.2,3.36
159,Mayna,RU,2019-11-06,100,92,53.0,91.49,38.7,1.21
160,Padang,ID,2019-11-06,68,60,-0.92,100.36,79.36,4.09
161,Sitka,US,2019-11-06,0,69,37.17,-99.65,41.0,10.0
162,Maxixe,MZ,2019-11-06,20,94,-23.86,35.35,75.2,6.71
163,Timra,SE,2019-11-06,27,85,62.49,17.33,24.01,12.75
164,Laela,TZ,2019-11-06,0,68,-8.57,32.05,62.15,4.76
165,Vilhena,BR,2019-11-06,100,91,-12.74,-60.15,72.07,1.05
166,Dikson,RU,2019-11-06,93,82,73.51,80.55,-2.57,11.86
167,Pierre,US,2019-11-06,90,100,44.37,-100.35,30.0,8.05
168,Makakilo City,US,2019-11-06,40,78,21.35,-158.09,80.6,9.17
169,Sobolevo,RU,2019-11-06,100,94,54.43,31.9,47.16,8.7
170,Ambilobe,MG,2019-11-06,100,68,-13.19,49.05,78.22,9.75
171,Cocentaina,ES,2019-11-06,0,51,38.74,-0.44,62.01,18.34
172,Rocha,UY,2019-11-06,0,52,-34.48,-54.34,49.98,5.53
173,Cabo San Lucas,MX,2019-11-06,5,73,22.89,-109.91,81.0,9.17
174,Meulaboh,ID,2019-11-06,83,75,4.14,96.13,81.3,8.97
175,Kaset Sombun,TH,2019-11-06,0,62,16.28,101.95,79.3,3.31
176,Teya,MX,2019-11-06,5,88,21.05,-89.07,81.0,6.93
177,Alofi,NU,2019-11-06,40,57,-19.06,-169.92,78.8,11.41
178,Mitsamiouli,KM,2019-11-06,40,74,-11.38,43.28,80.6,5.82
179,Elat,CM,2019-11-06,4,99,2.91,11.16,66.15,1.45
180,Plettenberg Bay,ZA,2019-11-06,98,60,-34.05,23.37,62.33,4.76
181,Eirunepe,BR,2019-11-06,3,78,-6.66,-69.87,76.15,2.21
182,Shizunai,JP,2019-11-06,57,65,42.33,142.37,38.7,14.47
183,Port Moresby,PG,2019-11-06,75,66,-9.47,147.16,86.0,20.8
184,Talnakh,RU,2019-11-06,100,78,69.49,88.39,10.4,15.66
185,Port-Cartier,CA,2019-11-06,90,93,50.03,-66.88,42.8,9.17
186,Inuvik,CA,2019-11-06,90,78,68.36,-133.71,12.2,2.24
187,Darhan,MN,2019-11-06,0,51,49.49,105.92,30.04,5.23
188,Flin Flon,CA,2019-11-06,79,86,54.77,-101.88,12.78,7.94
189,Bissau,GW,2019-11-06,53,72,11.86,-15.58,78.04,4.41
190,Tura,RU,2019-11-06,100,96,64.27,100.22,0.23,3.42
191,Valparaiso,US,2019-11-06,1,80,41.47,-87.06,33.8,3.36
192,Marsh Harbour,BS,2019-11-06,100,81,26.54,-77.06,79.59,14.85
193,Pisco,PE,2019-11-06,40,82,-13.71,-76.2,64.0,11.41
194,Sioux Lookout,CA,2019-11-06,90,67,50.1,-91.92,17.6,10.29
195,Maryville,US,2019-11-06,75,100,35.76,-83.97,54.0,7.43
196,Novobirilyussy,RU,2019-11-06,100,78,56.95,90.69,29.89,14.56
197,Lishu,CN,2019-11-06,100,24,43.31,124.32,40.89,4.72
198,Pemba,MZ,2019-11-06,40,94,-12.97,40.52,77.0,6.93
199,Bilgi,TR,2019-11-06,18,23,38.1,43.26,32.0,3.36
200,Sinnamary,GF,2019-11-06,0,80,5.38,-52.96,82.13,14.85
201,Watertown,US,2019-11-06,90,85,44.9,-97.12,26.01,3.65
202,Salur,IN,2019-11-06,100,69,18.52,83.21,72.43,2.86
203,Hambantota,LK,2019-11-06,40,94,6.12,81.12,80.6,6.93
204,Killybegs,IE,2019-11-06,90,94,54.63,-8.45,39.0,8.05
205,Mareeba,AU,2019-11-06,75,48,-16.99,145.42,89.01,12.75
206,Rochegda,RU,2019-11-06,100,65,62.67,43.41,23.72,7.25
207,Broken Hill,AU,2019-11-06,1,11,-31.97,141.45,86.0,24.16
208,Husavik,CA,2019-11-06,100,89,50.56,-96.99,18.0,5.01
209,Anarrakhi,GR,2019-11-06,84,81,40.48,21.57,53.01,5.82
210,Tamiahua,MX,2019-11-06,67,80,21.28,-97.45,78.21,7.16
211,Inirida,CO,2019-11-06,100,93,3.87,-67.92,74.62,2.08
212,Strezhevoy,RU,2019-11-06,90,92,60.73,77.6,30.2,4.47
213,Angoche,MZ,2019-11-06,5,96,-16.23,39.91,70.38,4.68
214,Abohar,IN,2019-11-06,0,26,30.15,74.2,74.95,9.71
215,Bubaque,GW,2019-11-06,100,75,11.28,-15.83,84.24,11.81
216,Los Llanos De Aridane,ES,2019-11-06,90,64,28.66,-17.92,69.8,12.75
217,Roebourne,AU,2019-11-06,0,7,-20.77,117.15,105.08,20.24
218,The Valley,AI,2019-11-06,40,74,18.22,-63.06,82.4,12.75
219,Totness,US,2019-11-06,1,93,33.74,-80.8,64.99,4.72
220,Pandan,PH,2019-11-06,100,80,11.72,122.09,82.18,24.34
221,Nichinan,JP,2019-11-06,20,37,31.65,131.31,68.0,4.7
222,Ghanzi,BW,2019-11-06,0,27,-21.7,21.65,75.94,12.1
223,Wanaka,NZ,2019-11-06,72,52,-44.7,169.14,54.57,6.64
224,Katsuura,JP,2019-11-06,20,55,33.93,134.5,64.4,11.41
225,Hohhot,CN,2019-11-06,20,62,40.81,111.65,48.2,4.47
226,Esperance,AU,2019-11-06,90,52,-33.86,121.89,64.4,14.99
227,Kidal,ML,2019-11-06,0,19,18.44,1.41,72.37,1.83
228,Faya,SA,2019-11-06,25,42,18.39,42.45,53.6,7.11
229,Tarko-Sale,RU,2019-11-06,0,91,64.92,77.78,21.0,12.5
230,Victor Harbor,AU,2019-11-06,40,55,-35.55,138.62,66.0,25.28
231,Sorland,NO,2019-11-06,98,71,67.67,12.69,37.58,18.66
232,Port Lincoln,AU,2019-11-06,0,48,-34.72,135.86,65.35,21.12
233,Bulnes,CL,2019-11-06,0,71,-36.74,-72.3,55.0,6.93
234,Sawankhalok,TH,2019-11-06,20,78,17.31,99.83,82.4,2.24
235,Saldanha,PT,2019-11-06,71,90,41.42,-6.55,43.56,8.86
236,Tabou,CI,2019-11-06,0,95,4.42,-7.36,75.2,1.14
237,Airai,TL,2019-11-06,13,40,-8.93,125.41,84.47,8.97
238,Lazaro Cardenas,MX,2019-11-06,40,52,28.39,-105.62,66.99,5.82
239,Puerto Ayora,EC,2019-11-06,11,92,-0.74,-90.35,69.01,5.99
240,Zhangye,CN,2019-11-06,100,36,38.94,100.46,49.73,1.81
241,Bintulu,MY,2019-11-06,75,88,3.17,113.03,78.8,3.36
242,Coihaique,CL,2019-11-06,33,57,-45.58,-72.07,50.0,9.17
243,Kruisfontein,ZA,2019-11-06,63,53,-34.0,24.73,57.18,2.82
244,Portland,US,2019-11-06,75,100,43.66,-70.25,51.01,3.36
245,Kintampo,GH,2019-11-06,54,80,8.05,-1.73,75.06,4.05
246,Fishers,US,2019-11-06,1,69,39.96,-86.01,37.0,3.36
247,Muros,ES,2019-11-06,75,100,42.77,-9.06,54.0,2.24
248,Lasa,CY,2019-11-06,0,59,34.92,32.53,64.4,10.29
249,Susanville,US,2019-11-06,1,48,40.42,-120.65,44.6,3.36
250,Mana,NG,2019-11-06,2,23,13.03,5.27,77.86,6.4
251,Tiarei,PF,2019-11-06,20,70,-17.53,-149.33,84.2,2.24
252,Gannan,CN,2019-11-06,97,22,47.92,123.49,29.98,4.61
253,Valencia,ES,2019-11-06,0,50,39.47,-0.38,59.0,8.05
254,Laguna,BZ,2019-11-06,0,100,16.17,-88.94,73.4,1.9
255,Tilichiki,RU,2019-11-06,100,85,60.47,166.1,35.42,34.38
256,Pangody,RU,2019-11-06,33,87,65.85,74.49,11.35,15.28
257,Biratnagar,NP,2019-11-06,0,67,26.46,87.28,73.63,5.35
258,Cockburn Town,TC,2019-11-06,0,75,21.46,-71.14,82.42,15.7
259,Watsa,CD,2019-11-06,96,97,3.04,29.53,63.63,2.26
260,Lorengau,PG,2019-11-06,100,69,-2.02,147.27,83.73,13.78
261,Kirillov,RU,2019-11-06,90,95,59.86,38.38,32.0,8.95
262,Skarnes,NO,2019-11-06,100,85,60.25,11.68,24.01,5.82
263,Talcahuano,CL,2019-11-06,0,81,-36.72,-73.12,51.8,13.87
264,Kungurtug,RU,2019-11-06,0,64,50.6,97.53,29.88,1.01
265,Longyearbyen,NO,2019-11-06,75,71,78.22,15.63,8.6,2.24
266,Lethem,GY,2019-11-06,0,70,3.38,-59.8,80.58,7.76
267,Rosarito,CO,2019-11-06,75,94,4.91,-75.23,75.2,4.7
268,Alice Springs,AU,2019-11-06,15,7,-23.7,133.88,89.6,10.29
269,Carnarvon,ZA,2019-11-06,33,40,-30.97,22.13,64.65,5.41
270,Coldwater,US,2019-11-06,1,79,41.94,-85.0,30.2,6.53
271,Kangaatsiaq,GL,2019-11-06,85,71,68.31,-53.46,34.11,14.5
272,Beringovskiy,RU,2019-11-06,100,90,63.05,179.32,30.9,6.64
273,Mahajanga,MG,2019-11-06,20,78,-15.72,46.32,77.0,5.82
274,Moose Factory,CA,2019-11-06,75,72,51.26,-80.61,14.0,12.75
275,Basarabeasca,UA,2019-11-06,67,76,46.33,28.97,53.6,5.82
276,Ahipara,NZ,2019-11-06,100,68,-35.17,173.16,75.0,13.09
277,Saint-Louis,SN,2019-11-06,2,65,16.03,-16.5,77.0,9.17
278,Vardo,US,2019-11-06,90,66,39.62,-77.74,52.0,5.82
279,Klaksvik,FO,2019-11-06,100,74,62.23,-6.59,35.6,10.29
280,Provideniya,RU,2019-11-06,2,73,64.42,-173.23,24.8,4.47
281,Namibe,AO,2019-11-06,100,81,-15.19,12.15,73.72,5.21
282,Santa Cruz,BR,2019-11-06,39,79,-6.22,-36.02,71.58,9.24
283,Avera,US,2019-11-06,40,93,33.19,-82.53,64.4,5.48
284,Saint-Francois,FR,2019-11-06,88,93,46.42,3.91,46.4,4.7
285,Novaya Malykla,RU,2019-11-06,100,87,54.21,49.93,45.72,21.9
286,Bathsheba,BB,2019-11-06,40,78,13.22,-59.52,82.4,18.34
287,Camocim,BR,2019-11-06,0,82,-2.9,-40.84,74.46,7.09
288,Christchurch,NZ,2019-11-06,100,87,-43.53,172.64,62.01,9.17
289,Kloulklubed,PW,2019-11-06,75,79,7.04,134.26,84.2,17.22
290,Nanortalik,GL,2019-11-06,27,88,60.14,-45.24,35.29,20.92
291,Maumere,ID,2019-11-06,0,57,-8.63,122.22,84.04,7.09
292,Ostrovnoy,RU,2019-11-06,99,81,68.05,39.51,27.36,6.87
293,Pemberton,AU,2019-11-06,0,48,-34.44,116.03,73.0,4.0
294,Mount Isa,AU,2019-11-06,90,7,-20.73,139.49,93.2,8.05
295,Dauriya,RU,2019-11-06,52,43,49.93,116.85,24.42,15.48
296,La Ronge,CA,2019-11-06,40,72,55.1,-105.3,12.2,11.41
297,Havre-Saint-Pierre,CA,2019-11-06,90,93,50.23,-63.6,42.8,10.29
298,Polovinnoye,RU,2019-11-06,100,87,54.79,65.99,33.48,12.91
299,Narsaq,GL,2019-11-06,92,80,60.91,-46.05,33.8,3.36
300,Iranshahr,IR,2019-11-06,0,37,27.21,60.69,66.2,4.65
301,Humaita,AR,2019-11-06,90,77,-24.93,-65.37,68.0,2.24
302,Protvino,RU,2019-11-06,90,93,54.87,37.22,48.2,8.95
303,Zhezkazgan,KZ,2019-11-06,90,86,47.8,67.71,28.4,8.95
304,Ardakan,IR,2019-11-06,0,49,32.31,54.02,46.4,2.24
305,Vanimo,PG,2019-11-06,51,74,-2.67,141.3,82.22,5.61
306,Llanes,ES,2019-11-06,31,87,43.42,-4.75,54.0,26.78
307,Nemuro,JP,2019-11-06,40,39,43.32,145.57,48.2,11.41
308,Pochutla,MX,2019-11-06,40,74,15.74,-96.47,80.6,3.36
309,Fort Nelson,CA,2019-11-06,5,84,58.81,-122.69,6.8,4.7
310,Wawa,NG,2019-11-06,0,56,9.9,4.41,77.76,1.9
311,Methoni,GR,2019-11-06,86,93,36.82,21.7,64.0,3.36
312,Glendive,US,2019-11-06,90,92,47.11,-104.71,30.99,5.82
313,Atambua,ID,2019-11-06,7,50,-9.11,124.89,88.9,4.16
314,Prince Rupert,CA,2019-11-06,90,93,54.32,-130.32,48.2,5.82
315,Clyde River,CA,2019-11-06,90,92,70.47,-68.59,19.4,10.29
316,Fasa,IR,2019-11-06,0,56,28.94,53.65,44.6,4.7
317,Perevolotskiy,RU,2019-11-06,99,67,51.88,54.19,33.24,16.44
318,Hofn,IS,2019-11-06,100,91,64.25,-15.21,33.22,15.23
319,Santa Maria,BR,2019-11-06,75,73,-16.02,-48.01,75.2,8.05
320,The Pas,CA,2019-11-06,1,66,53.82,-101.24,15.8,14.99
321,Dukat,AL,2019-11-06,100,91,40.25,19.57,64.0,22.79
322,Namatanai,PG,2019-11-06,100,69,-3.66,152.44,84.34,9.28
323,Yaan,NG,2019-11-06,26,91,7.38,8.57,74.34,4.12
324,Yulara,AU,2019-11-06,15,7,-25.24,130.99,89.6,6.93
325,Marzuq,YE,2019-11-06,0,61,14.4,46.47,59.49,0.96
326,Saint George,GR,2019-11-06,20,100,39.45,22.34,51.8,2.13
327,Pirogovo,RU,2019-11-06,100,91,56.78,53.16,42.01,5.01
328,College,US,2019-11-06,1,92,64.86,-147.8,19.0,3.91
329,Brae,GB,2019-11-06,99,74,60.4,-1.35,37.4,9.17
330,Ulaanbaatar,MN,2019-11-06,0,42,47.92,106.92,30.2,4.47
331,Marawi,PH,2019-11-06,49,66,8.0,124.29,84.99,5.01
332,Porto Belo,BR,2019-11-06,75,64,-27.15,-48.54,71.6,6.93
333,Bamboo,JM,2019-11-06,20,74,18.39,-77.27,82.4,6.93
334,Carrollton,US,2019-11-06,1,71,33.58,-85.08,57.0,8.05
335,Conde,BR,2019-11-06,26,78,-11.81,-37.61,78.21,19.8
336,Kalmunai,LK,2019-11-06,74,77,7.42,81.82,79.43,9.64
337,Dongfeng,CN,2019-11-06,62,27,42.67,125.53,41.76,3.06
338,Bermeo,ES,2019-11-06,75,71,43.42,-2.72,57.2,12.75
339,Minna,NG,2019-11-06,2,62,9.62,6.55,74.46,1.99
340,Ancud,CL,2019-11-06,100,87,-41.87,-73.83,50.72,7.92
341,Anadyr,RU,2019-11-06,90,79,64.73,177.51,28.4,4.47
342,Hamilton,CA,2019-11-06,75,69,43.26,-79.87,41.0,8.05
343,Flinders,AU,2019-11-06,0,17,-34.58,150.85,88.0,17.22
344,Tanout,NE,2019-11-06,12,18,14.97,8.88,80.44,9.17
345,Vao,EE,2019-11-06,100,81,59.1,26.19,31.48,7.9
346,Iqaluit,CA,2019-11-06,75,85,63.75,-68.52,19.4,5.82
347,Mehran,IR,2019-11-06,0,65,33.12,46.17,46.4,4.7
348,Abu Zabad,SD,2019-11-06,0,23,12.35,29.25,75.38,11.34
349,Sinjai,ID,2019-11-06,100,65,-5.12,120.25,83.91,7.14
350,Tateyama,JP,2019-11-06,75,51,36.66,137.31,66.0,3.36
351,Bosaso,SO,2019-11-06,11,81,11.28,49.18,82.24,15.97
352,Ouahigouya,BF,2019-11-06,1,24,13.58,-2.42,80.46,5.93
353,Manokwari,ID,2019-11-06,100,75,-0.87,134.08,79.45,5.93
354,La Tuque,CA,2019-11-06,38,95,47.44,-72.79,30.72,6.38
355,Palmer,AU,2019-11-06,40,55,-34.85,139.16,70.0,25.28
